"සුත්‍ර නාමය",පිටක​ය,නිකා​ය,වග්ග​ය,"පෙළ පිටු අංක","PDF පෙළ පිටු අංක ","PDF පාළි​ අටුවාව","සිංහල අටුවාව","PDF සිංහල අටුවාව","PDF පාළි ටීකා","පාළි - සිංහල ටීකා"
"චූළගෝසිඞ්ග සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 4.මහා යමක වර්‍ගය","SP_MN1 - 495","""PDF"" SP_MN1 - 514","PA09_MN1 - 412","SA_MN2 - 250","""PDF"" SA_MN2 - 250","PT19_MN1 - 442","ST_MN1-II  - 318"
"මහාගෝසිඞ්ග සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 4.මහා යමක වර්‍ගය","SP_MN1 - 509","""PDF"" SP_MN1 - 528","PA09_MN1 - 420","SA_MN2 - 260","""PDF"" SA_MN2 - 260","PT19_MN1 - 447","ST_MN1-II  - 328"
"මහාගෝපාලක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 4.මහා යමක වර්‍ගය","SP_MN1 - 527","""PDF"" SP_MN1 - 546","PA09_MN1 - 429","SA_MN2 - 273","""PDF"" SA_MN2 - 273","PT19_MN1 - 452","ST_MN1-II  - 340"
"චූළගෝපාලක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 4.මහා යමක වර්‍ගය","SP_MN1 - 537","""PDF"" SP_MN1 - 556","PA09_MN1 - 434","SA_MN2 - 281","""PDF"" SA_MN2 - 281","PT19_MN1 - 457","ST_MN1-II  - 352"
"චූළසච්චක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 4.මහා යමක වර්‍ගය","SP_MN1 - 541","""PDF"" SP_MN1 - 560","PA09_MN1 - 436","SA_MN2 - 284","""PDF"" SA_MN2 - 284","PT19_MN1 - 458","ST_MN1-II  - 356"
"මහාසච්චක සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 4.මහා යමක වර්‍ගය","SP_MN1 - 561","""PDF"" SP_MN1 - 580","PA09_MN1 - 447","SA_MN2 - 301","""PDF"" SA_MN2 - 301","PT19_MN1 - 465","ST_MN1-II  - 372"
"චූළතණ්හාසඞ්ඛය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 4.මහා යමක වර්‍ගය","SP_MN1 - 593","""PDF"" SP_MN1 - 612","PA09_MN1 - 456","SA_MN2 - 313","""PDF"" SA_MN2 - 313","PT19_MN1 - 471","ST_MN1-II  - 386"
"මහාතණ්හාසඞ්ඛය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 4.මහා යමක වර්‍ගය","SP_MN1 - 603","""PDF"" SP_MN1 - 622","PA09_MN1 - 463","SA_MN2 - 323","""PDF"" SA_MN2 - 323","PT19_MN1 - 475","ST_MN1-II  - 396"
"මහාඅස්සපුර සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 4.මහා යමක වර්‍ගය","SP_MN1 - 633","""PDF"" SP_MN1 - 652","PA09_MN1 - 468","SA_MN2 - 330","""PDF"" SA_MN2 - 330","PT19_MN1 - 480","ST_MN1-II  - 410"
"චූළඅස්සපුර සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 4.මහා යමක වර්‍ගය","SP_MN1 - 653","""PDF"" SP_MN1 - 672","PA09_MN1 - 477","SA_MN2 - 343","""PDF"" SA_MN2 - 343","PT19_MN1 - 488","ST_MN1-II  - 428"
